noise_model,lambda,agent,quantile,mean_log2_horizon
metr_global,0.5,Gemini 2.5 Pro Preview,p50,5.297717734340953
metr_global,0.5,Grok 4,p50,6.7400510122196735
metr_global,0.5,Kimi K2 Thinking,p50,5.827359339166917
metr_global,0.5,Qwen2-72B,p50,1.2795296481449194
metr_global,0.5,Qwen2.5-72B,p50,2.457708970767333
metr_global,0.5,davinci-002 (GPT-3),p50,-2.769003252222347
metr_global,0.5,gpt-3.5-turbo-instruct,p50,-0.7448087580052443
metr_global,0.5,gpt-oss-120b,p50,5.471504592343072
metr_global,0.5,human,p50,6.901909448305141
metr_global,0.5,o1,p50,5.349652352378602
metr_global,0.5,o1-preview,p50,4.48347128825296
